S.No,Domain,Category,Region
3586,boundindia.com,Publishing & Books,India
3587,boutindia.com,Travel & Ticketing,India
3588,bow.chat,AI & Data Science,US
3589,bowandsquare.com,Fashion & Apparel,India
3590,bowlfulstore.com,Food & Beverage,India
3591,bowlingmachine.co.in,Home & Living,India
3592,bownbee.com,Fashion & Apparel,India
3593,box8.in,Restaurant & Hospitality,India
3594,boxbox.club,News & Media,Global
3595,boxello.in,Unknown,India
3596,boxify.co.in,Printing & Packaging,India
3597,boxingfederation.in,Office & Stationery,India
3598,boxinnovate.com,EdTech,US
3599,boxit.pk,Office & Stationery,Global
3600,boxjoy.in,Home & Living,India
3601,boxnmove.com,Home Services,India
3602,boxnube.in,Electronics & Tech,India
3603,boxofficecollection.in,News & Media,India
3604,boxofficeindex.in,News & Media,India
3605,boxofficemovies.in,Betting & Fantasy Sports,India
3606,boya-mic.in,Electronics & Tech,India
3607,boynerclinic.com,Fashion & Apparel,India
3608,bozapp.in,Travel & Ticketing,India
3609,bpac.in,Handicrafts & Artisanal Goods,India
3610,bpbonline.com,AI & Data Science,US
3611,bperfume.in,Beauty & Personal Care,India
3612,bpl.in,Electronics & Tech,India
3613,bplmedicaltechnologies.com,Health & Wellness Services,Global
3614,bpms.org.in,News & Media,India
3615,bpps.in,Fashion & Apparel,India
3616,bprim.org,EdTech,India
3617,bpwealth.com,FinTech,Global
3618,bracevor.in,Fashion & Apparel,India
3619,bracknell.in,Restaurant & Hospitality,India
3620,brahmabus.in,Travel & Ticketing,India
3621,brahmaesolutions.com,Ecommerce/Retail,Global
3622,brahmaniyoga.com,Home & Living,US
3623,brahminhomefood.com,Unknown,India
3624,brahmosamaj.in,Religious & Spiritual,India
3625,brainasoft.com,AI & Data Science,Global
3626,brainheaters.in,EdTech,India
3627,brainminetech.com,Professional Services,India
3628,brainturk.com,Rubber; Plastics & Composites,Global
3629,brajbhoomitourandtravels.com,Travel & Ticketing,India
3630,brajeshmohan.in,Banking & Financial Services,India
3631,bramc.edu.in,Health & Wellness Services,India
3632,brandblackjack.com,Unknown,Global
3633,brandconcepts.in,Fashion & Apparel,India
3634,brandedstore.in,Fashion & Apparel,India
3635,brandhyp.com,Unknown,Global
3636,brandinnovatorhub.in,Ecommerce/Retail,India
3637,brandlandpropertyexpo.in,Real Estate,India
3638,brandlooks.in,Fashion & Apparel,India
3639,brandloom.com,Ecommerce/Retail,India
3640,brandmall.in,Beauty & Personal Care,India
3641,brands2home.com,Food & Beverage,India
3642,brandsamor.com,Beauty & Personal Care,India
3643,brandseverything.store,Unknown,US
3644,brandsmashers.com,Professional Services,India
3645,brandstich.in,Unknown,India
3646,brandstik.com,Electronics & Tech,India
3647,brandswitch.in,Professional Services,India
3648,brandzstorm.com,Fashion & Apparel,Global
3649,branictech.com,Marine & Shipping,India
3650,branzio.in,Unknown,India
3651,brassgiftonline.com,Unknown,Global
3652,bravefitness.in,Unknown,India
3653,brbchips.com,Food & Beverage,India
3654,brbnmpl.co.in,Banking & Financial Services,India
3655,breakbounce.com,Unknown,Global
3656,breakprotection.com,Electronics & Tech,Global
3657,breathefree.com,Social Media & Platforms,Global
3658,breathewellbeing.in,Rental & Subscription Services,India
3659,breematcha.com,Food & Beverage,India
3660,breezbuilders.com,Real Estate,Global
3661,brevitaz.com,Logistics,Global
3662,brewer-world.com,Alcohol & Tobacco,Global
3663,brewingcricket.com,Fashion & Apparel,India
3664,brewnation.in,Food & Beverage,India
3665,brhat.in,EdTech,India
3666,bricksnwall.com,Construction & Building Materials,Global
3667,bridalasia.com,Wedding & Events,Global
3668,bridge2capital.com,FinTech,India
3669,bridgebharat.com,Art & Collectibles,India
3670,bridgewhy.com,Electronics & Tech,India
3671,brigadekomarlaheights.net.in,Real Estate,India
3672,brightsidejournal.com,Office & Stationery,India
3673,brightsun.co.in,Travel & Ticketing,India
3674,brightsun.co.uk,Airlines & Aviation,UK
3675,brih.in,Fashion & Apparel,India
3676,brihansnatural.com,Beauty & Personal Care,India
3677,brihaspatitech.com,Unknown,Global
3678,briiton.com,Baby & Kids,India
3679,brij.com,Fashion & Apparel,India
3680,brijbari.com,Fashion & Apparel,India
3681,brijbhoomi.co.in,Religious & Spiritual,India
3682,brijbooti.in,Beauty & Personal Care,India
3683,brijdentalclinic.com,Dental & Oral Care,India
3684,brijlaxmi.com,Banking & Financial Services,Global
3685,brijrajeducation.com,EdTech,India
3686,brijwale.com,Religious & Spiritual,India
3687,brijwasibakery.com,Food & Beverage,India
3688,brikoven.com,Food & Beverage,India
3689,brikzz.com,Aerospace & Defense,India
3690,brilliantcut.co.in,Jewelry,India
3691,brillicaservices.com,AI & Data Science,India
3692,brilworks.com,SaaS & B2B,US
3693,bringbrandon.com,Professional Services,India
3694,bringitonline.in,Video & Film Production,India
3695,brintoncare.com,Beauty & Personal Care,India
3696,brintonhealth.com,Unknown,Global
3697,brintons.co.in,Manufacturing,India
3698,briotech.com,FMCG,UK
3699,briskpe.com,Banking & Financial Services,India
3700,britaccent.com,Beauty & Personal Care,India
3701,britishbiologicals.com,Health & Wellness Services,India
3702,britishwalkers.com,Fashion & Apparel,India
3703,brittle.in,Health & Wellness Services,India
3704,briyosupplements.com,Food & Beverage,India
3705,brize.in,Unknown,India
3706,brkthru.store,Fashion & Apparel,India
3707,brmchemicals.com,Beauty & Personal Care,India
3708,broadcastseva.gov.in,News & Media,India
3709,broadindia.com,Manufacturing,India
3710,broadwaylive.in,Fashion & Apparel,India
3711,brogen.in,Religious & Spiritual,India
3712,brohud.com,Fashion & Apparel,India
3713,brokememers.com,Rental & Subscription Services,India
3714,brokerage-free.in,Banking & Financial Services,India
3715,brokerdalal.com,Automotive,India
3716,brollyacademy.com,Education Services (Non-Digital),India
3717,bronomics.in,Fashion & Apparel,India
3718,bronoun.in,Fashion & Apparel,India
3719,brookefields.com,Restaurant & Hospitality,India
3720,brookfieldindiareit.in,Real Estate,India
3721,brookfieldreit.com,Real Estate,US
3722,broomboomcabs.com,Airlines & Aviation,India
3723,broseph.in,Social Services & Welfare,India
3724,brothersacademy.co.in,EdTech,India
3725,brotomotiv.in,Glass; Ceramics & Nonmetallic Minerals,India
3726,brototype.com,Education Services (Non-Digital),India
3727,brownanatomy.com,Beauty & Personal Care,India
3728,brownbear.in,Leather & Hide Products,India
3729,brownbearbakers.com,Food & Beverage,India
3730,browntownresort.com,Food & Beverage,India
3731,browseinfo.com,Ecommerce/Retail,India
3732,browsejobs.in,EdTech,India
3733,browserhow.com,Social Media & Platforms,Global
3734,brro.org,NGO & Non-Profit,India
3735,bruchiclub.com,Unknown,Global
3736,bruhaspatinath.com,News & Media,Global
3737,bruisedpassports.com,Wedding & Events,Global
3738,brune.in,Fashion & Apparel,India
3739,brutforcegear.com,Fashion & Apparel,India
3740,bryair.com,Manufacturing,India
3741,bryanandcandy.com,Beauty & Personal Care,India
3742,bryanscakehouse.com,Food & Beverage,India
3743,bsafal.com,Real Estate,India
3744,bsahercules.com,Sports & Outdoor,Global
3745,bsamotorcycles.in,Automotive,India
3746,bsbhome.in,Unknown,India
3747,bscgipe.in,Schools & Universities,India
3748,bschoolbuzz.in,News & Media,India
3749,bscinteriors.in,Construction & Building Materials,India
3750,bscplre.com,Real Estate,India
3751,bsdma.org,Home & Living,India
3752,bsdprojects.in,Construction & Building Materials,India
3753,bse2nse.com,Social Media & Platforms,Global
3754,bsepsu.com,Government & Public Sector,Global
3755,bsf.no,Unknown,Global
3756,bsf.org.il,NGO & Non-Profit,US
3757,bsf.pe,Construction & Building Materials,Global
3758,bskmotosport.com,Fashion & Apparel,India
3759,bsmcl.in,Mining & Quarrying,India
3760,bsmedicalcollege.org.in,Health & Wellness Services,India
3761,bsmindia.com,Fashion & Apparel,India
3762,bsnlhousingsociety.in,Real Estate,India
3763,bsnltariff.com,Telecom,India
3764,bspokewellness.com,Food & Beverage,India
3765,bsrstrust.org,Religious & Spiritual,UK
3766,bsrtravels.in,Travel & Ticketing,India
3767,bssei.in,EdTech,India
3768,bsshomestore.com,Unknown,Global
3769,bsspatna.in,EdTech,India
3770,bsssbhopal.edu.in,Schools & Universities,India
3771,bssve.in,EdTech,India
3772,bstories.in,Social Media & Platforms,India
3773,btaliinternational.com,Home & Living,India
3774,btbatiktrusmi.com,Fashion & Apparel,US
3775,btechcsegehu.in,Government & Public Sector,India
3776,btin.co.in,News & Media,India
3777,btlepcltd.com,Manufacturing,India
3778,btreesystems.com,EdTech,US
3779,btribe.in,Construction & Building Materials,India
3780,bttravels.in,Travel & Ticketing,India
3781,btwvisas.com,Travel & Ticketing,India
3782,buat.edu.in,Schools & Universities,India
3783,bubbleme.in,Health & Wellness,India
3784,bubblesindia.com,Unknown,Global
3785,bubhandari.com,Automotive,US
3786,bubhandari.net,Automotive,India
3787,bubsiefamily.com,Baby & Kids,India
3788,bucb.in,Banking & Financial Services,India
3789,bucbl.com,Banking & Financial Services,India
3790,buchiglas.com,Manufacturing,Global
3791,bucket.pk,Ecommerce/Retail,Global
3792,bucketlist.to,Food & Beverage,India
3793,buckrate.com,Unknown,Global
3794,budan.in,Restaurant & Hospitality,India
3795,budaun.nic.in,Government & Public Sector,India
3796,buddhaceo.org,EdTech,India
3797,buddhapada.in,Religious & Spiritual,India
3798,buddhinternationalcircuit.in,Rental & Subscription Services,India
3799,budgam.nic.in,Government & Public Sector,India
3800,budgetticket.in,Travel & Ticketing,India
3801,budhacollege.edu.in,EdTech,India
3802,budsandberries.in,Home & Living,India
3803,bugspeaks.com,Beauty & Personal Care,India
3804,bugstore.in,Baby & Kids,India
3805,buildahome.in,Construction & Building Materials,India
3806,builders9.com,Construction & Building Materials,India
3807,builderscareer.com,Real Estate,Japan
3808,buildesk.in,Real Estate,India
3809,buildfastwithai.com,Home & Living,India
3810,buildhub.in,Home & Living,India
3811,buildingplanner.in,Office & Stationery,India
3812,buildmypc.net,Electronics & Tech,US
3813,buildnext.in,Home & Living,India
3814,buildpro.store,Home & Living,India
3815,buildsuite.io,Real Estate,India
3816,builtinchennai.in,AI & Data Science,India
3817,builtindelhi.in,AI & Data Science,India
3818,builtinmumbai.in,AI & Data Science,India
3819,builtinpune.in,AI & Data Science,India
3820,bukharibooks.com,Printing & Packaging,Global
3821,bulandshahar.nic.in,Government & Public Sector,India
3822,buldanaurban.org,Banking & Financial Services,India
3823,bulkgemstones.com,Unknown,Global
3824,bulkmockup.com,Home & Living,US
3825,bulkssms.com,Home Services,India
3826,bulletshorts.com,Social Media & Platforms,US
3827,bullionindia.in,Precious Metals; Gems & Bullion,India
3828,bullishstocks.in,Banking & Financial Services,India
3829,bullwaves.com,Banking & Financial Services,US
3830,bulqbox.com,Fashion & Apparel,India
3831,bumchums.in,Fashion & Apparel,India
3832,bunastudio.com,Handicrafts & Artisanal Goods,India
3833,bunga365.com,Web Hosting & Domains,US
3834,buntssanghamumbai.com,Dating & Matchmaking,Global
3835,buoyantcap.com,Wealth & Asset Management,US
3836,buranshheliresort.com,Restaurant & Hospitality,India
3837,buraqpets.com,Pet Products,India
3838,buraqstudios.com,Unknown,Global
3839,burdwanccb.in,Banking & Financial Services,India
3840,burdwanmodelschool.ac.in,EdTech,India
3841,burgersinghonline.com,Food & Beverage,US
3842,burjbaneria.com,Restaurant & Hospitality,India
3843,burlingtonenglish.in,EdTech,India
3844,burnettresearchlab.com,Health & Wellness Services,India
3845,bushirt.in,Fashion & Apparel,India
3846,businessbooky.com,Fashion & Apparel,India
3847,businessgroww.com,Social Media & Platforms,India
3848,businessleague.in,Government & Public Sector,India
3849,businessremedies.com,News & Media,India
3850,buskers.in,Nuclear & Atomic Energy,India
3851,busstation.in,Travel & Ticketing,India
3852,butlerleather.com,Leather & Hide Products,Global
3853,buttagroup.com,Automotive,India
3854,buttercupbungalow.in,Food & Beverage,India
3855,buttistore.com,Art & Collectibles,India
3856,buyantiviruskey.com,Grocery & Supermarket,India
3857,buycarsonline.in,Automotive,India
3858,buyeazzy.com,Beauty & Personal Care,India
3859,buyforex.com,Banking & Financial Services,India
3860,buyindiahomes.com,Real Estate,India
3861,buyindiaproperty.in,Real Estate,India
3862,buynewtrend.com,Fashion & Apparel,India
3863,buystars.com,Betting & Fantasy Sports,Global
3864,buzzbeautyindia.in,Beauty & Personal Care,India
3865,buzzincontent.com,News & Media,India
3866,bvbdelhi.org,Beauty & Personal Care,India
3867,bvclogistics.com,Logistics,US
3868,bversity.io,Biotechnology,US
3869,bvfcl.com,Government & Public Sector,Global
3870,bvgindia.com,Energy & Utilities,Global
3871,bvicam.in,EdTech,India
3872,bvmkoradi.edu.in,EdTech,India
3873,bvmskn.edu.in,Schools & Universities,India
3874,bvmtrmn.edu.in,EdTech,India
3875,bvpindia.com,Dating & Matchmaking,India
3876,bwautoworld.com,News & Media,India
3877,bwcfoworld.com,News & Media,Global
3878,bwdisrupt.com,News & Media,India
3879,bwhindi.com,News & Media,India
3880,bwns.in,EdTech,India
3881,bwpeople.in,HR & Recruitment,India
3882,byhand.in,Fashion & Apparel,India
3883,bykojourneys.com,Fashion & Apparel,India
3884,bykr.co,Automotive,India
3885,byloomonline.com,Handicrafts & Artisanal Goods,India
3886,byohrishta.com,Dating & Matchmaking,Global
3887,bypassai.io,EdTech,US
3888,bysmita.in,Betting & Fantasy Sports,India
3889,bytcapital.in,AI & Data Science,India
3890,bytecraftstudios.in,Unknown,India
3891,byteiota.com,AI & Data Science,US
3892,bytephase.com,Health & Wellness,Global
3893,bytescraper.com,Social Media & Platforms,US
3894,bytescrum.com,Crypto & Web3,Global
3895,bytewebster.com,SaaS & B2B,US
3896,bytexl.com,Schools & Universities,India
3897,bytheleaf.in,Home & Living,India
3898,bytheriverside.in,Home & Living,India
3899,byutify.in,Fashion & Apparel,India
3900,bzinga.com,Ecommerce/Retail,India
3901,c2ppro.com,Unknown,Global
3902,c2s.gov.in,Semiconductor & Chips,India
3903,c4scale.com,SaaS & B2B,Global
3904,c9airwear.com,Fashion & Apparel,India
3905,caaa.in,Banking & Financial Services,India
3906,caaindia.com,Airlines & Aviation,Global
3907,caalley.com,Professional Services,Global
3908,cabecars.in,Automotive,India
3909,cabexperiences.com,Wedding & Events,Global
3910,cablecommunity.com,Manufacturing,India
3911,cablogindia.com,EdTech,Global
3912,cabochons4sale.com,Unknown,Global
3913,caboserai.com,Unknown,Global
3914,cabsec.gov.in,Government & Public Sector,India
3915,cacaote.in,Food & Beverage,India
3916,caciitg.com,Schools & Universities,Global
3917,cactro.com,Crypto & Web3,US
3918,cadabams.org,Healthcare & Hospitals,India
3919,cadabamshospitals.com,Healthcare & Hospitals,Global
3920,cadd.net.in,Construction & Building Materials,India
3921,caddcentre.com,EdTech,India
3922,cadetsdefenceacademy.com,Aerospace & Defense,Global
3923,cadinfield.com,Education Services (Non-Digital),India
3924,cadlec.in,Home & Living,India
3925,cadmate.org,Professional Services,Global
3926,cadwala.co.in,Jewelry,India
3927,cadwala.in,Jewelry,India
3928,cadworksindia.com,EdTech,India
3929,cadyce.com,Unknown,Global
3930,cafedelhiheights.com,Restaurant & Hospitality,Global
3931,cafedesireonline.com,Ecommerce/Retail,India
3932,cafeniloufer.com,Food & Beverage,India
3933,cafezouk.com,Restaurant & Hospitality,Global
3934,caffenacoffee.com,Home & Living,India
3935,caffinary.com,Fashion & Apparel,India
3936,caffitea.com,Food & Beverage,India
3937,cafral.org.in,Banking & Financial Services,India
3938,cag.org.in,NGO & Non-Profit,India
3939,cagexam.in,EdTech,India
3940,cagmc.com,Legal,India
3941,cahayaglobalteknik.com,Fashion & Apparel,Global
3942,cahcet.in,AI & Data Science,India
3943,caho.in,Health & Wellness Services,India
3944,caias.in,Construction & Building Materials,India
3945,caimahindra.com,Automotive,India
3946,caiml.org,AI & Data Science,Global
3947,caindia.org,Beauty & Personal Care,India
3948,cakebee.in,Baby & Kids,India
3949,cakehut.in,Baby & Kids,India
3950,cakelinks.in,Wedding & Events,India
3951,cakenbakenoida.com,Wedding & Events,India
3952,cakeplaza.in,Food & Beverage,India
3953,cakermon.com,Restaurant & Hospitality,India
3954,cakesncakesshop.com,Restaurant & Hospitality,India
3955,cakespot.in,Food & Beverage,India
3956,cakesquare.com,Food & Beverage,UK
3957,cakesworld.in,Food & Beverage,India
3958,caketoppersindia.com,Wedding & Events,India
3959,cakeybakeybhubaneswar.in,Food & Beverage,India
3960,calaw.in,Schools & Universities,India
3961,calcont.in,Home & Living,India
3962,calculatemydahej.in,Schools & Universities,India
3963,calculatorway.com,Pharmacy & Optical,Global
3964,calcuttan.in,Art & Collectibles,India
3965,calcuttaswimmingclub.com,Fitness & Gym,Global
3966,calcuttatramways.com,Government & Public Sector,India
3967,calenvie.com,Fashion & Apparel,India
3968,caliberelectronics.com,Electronics & Tech,Global
3969,caliberinterconnect.com,Unknown,Global
3970,calibr.ai,HR & Recruitment,US
3971,calibraint.com,Crypto & Web3,Global
3972,calicomuseum.org,Museums; Heritage & Culture,Global
3973,calicutcitybank.com,Banking & Financial Services,India
3974,calicutplasticsurgery.com,Rubber; Plastics & Composites,Global
3975,calicuturbanbank.com,Banking & Financial Services,Global
3976,californiaburrito.in,Food & Beverage,India
3977,californiawalnuts.in,Unknown,India
3978,caliog.in,Unknown,India
3979,calistocoffee.co.in,Alcohol & Tobacco,India
3980,callbike.co.in,Rental & Subscription Services,India
3981,callingjune.in,Restaurant & Hospitality,India
3982,callmateindia.com,Electronics & Tech,India
3983,callyourdhobi.com,Cleaning & Sanitation Services,India
3984,calminds.in,Jewelry,India
3985,calmosis.com,Unknown,Global
3986,calonge-group.com,Unknown,Global
3987,caltechindia.com,Unknown,Global
3988,camanojkumar.com,Professional Services,India
3989,cambaytiger.com,Aquaculture & Fisheries,India
3990,cambiowoman.com,Unknown,Global
3991,cambiumretail.com,Ecommerce/Retail,US
3992,cambridgeapparels.com,Fashion & Apparel,India
3993,cambridgehigh.in,Schools & Universities,India
3994,cambridgeinstitute.co.in,EdTech,India
3995,cambridgemontessoriglobal.org,Schools & Universities,India
3996,cambridgeschool.edu.in,EdTech,India
3997,cambridgeveritas.com,EdTech,India
3998,camclinic.in,Unknown,India
3999,camelfestival.com,Museums; Heritage & Culture,Global
4000,camessicollections.com,Unknown,Global
4001,cameyshop.com,Fashion & Apparel,India
4002,camorent.com,Electronics & Tech,India
4003,camotions.in,Baby & Kids,India
4004,campionbhopal.com,EdTech,Global
4005,campking.in,Sports & Outdoor,India
4006,campsvilla.com,Sports & Outdoor,Global
4007,campunity.in,Restaurant & Hospitality,India
4008,campus365.io,Schools & Universities,Global
4009,campus7.in,Schools & Universities,India
4010,campusactivewear.com,Fashion & Apparel,Global
4011,campuscare.in,Schools & Universities,India
4012,campuscart.co,Schools & Universities,Global
4013,campuscomponent.com,Schools & Universities,Global
4014,campusdean.com,Schools & Universities,India
4015,campushaat.com,Ecommerce/Retail,India
4016,campusifyplus.in,EdTech,India
4017,campusmall.in,Fashion & Apparel,India
4018,campusmonk.in,Schools & Universities,India
4019,campusoption.com,Schools & Universities,Global
4020,campusplus.live,Schools & Universities,Global
4021,campuspro.in,Schools & Universities,India
4022,campusuvce.in,Construction & Building Materials,India
4023,campusyatra.com,Schools & Universities,Global
4024,camrilla.com,Photography & Videography,India
4025,camsnps.com,Unknown,Global
4026,camtom.in,Photography & Videography,India
4027,camudigitalcampus.com,Schools & Universities,US
4028,canadianinternationalschool.com,Schools & Universities,India
4029,canadianpizzaindia.com,Food & Beverage,India
4030,cananorguild.com,Home & Living,India
4031,canarabank.bank.in,Banking & Financial Services,India
4032,canaraengineering.in,Schools & Universities,India
4033,canararewardz.com,Banking & Financial Services,Global
4034,canarauat.bank.in,Banking & Financial Services,India
4035,canarytheschool.com,EdTech,India
4036,canbankfactors.com,Debt; Credit & Collections,Global
4037,canbrohealthcare.com,Health & Wellness Services,Global
4038,cancerfax.com,Biotechnology,US
4039,cancerinstitutewia.in,Health & Wellness Services,India
4040,candeurcrescent.com,Real Estate,India
4041,candidroot.com,Wholesale & Distribution,India
4042,candidshutters.com,Unknown,Global
4043,candleking.in,Home & Living,India
4044,candlemould.com,Beauty & Personal Care,India
4045,candyskin.com,Fashion & Apparel,India
4046,candyville.in,Unknown,India
4047,cangra.com,Professional Services,India
4048,caninecraving.com,Pet Products,India
4049,cantech.in,Web Hosting & Domains,India
4050,canthari.com,Fashion & Apparel,Global
4051,canvaschamp.in,Art & Collectibles,India
4052,canvo.in,Art & Collectibles,India
4053,canvs.in,Banking & Financial Services,India
4054,capeasy.in,NGO & Non-Profit,India
4055,capeelectric.in,Health & Wellness Services,India
4056,capitalmind.in,Wealth & Asset Management,India
4057,capitalnow.in,Banking & Financial Services,India
4058,capitalplacement.in,Construction & Building Materials,India
4059,capitaltrade.in,Banking & Financial Services,India
4060,caple.in,Unknown,India
4061,caplinpoint.net,News & Media,India
4062,cappellasports.com,Fashion & Apparel,India
4063,caprihomeloans.com,Real Estate,India
4064,caprolabs.com,Unknown,Global
4065,capsavefinance.com,Logistics,Global
4066,capstocks.com,Restaurant & Hospitality,India
4067,captainfresh.in,Aquaculture & Fisheries,India
4068,capuneetbajaj.com,Professional Services,India
4069,car4hires.com,Airlines & Aviation,India
4070,carafina.in,Unknown,India
4071,caravelabeachresortgoa.com,Restaurant & Hospitality,Global
4072,carbae.in,Automotive,India
4073,carbikeindia.com,Automotive,UK
4074,carbikeinformation.com,Automotive,India
4075,carbonboutique.com,Unknown,Global
4076,carboncopy.info,News & Media,Global
4077,carcarer.in,Salon & Spa,India
4078,carcooper.com,Automotive,India
4079,card2cash.in,FinTech,India
4080,cardhobi.co.in,Home & Living,India
4081,cardyz.in,Office & Stationery,India
4082,careager.com,Ecommerce/Retail,India
4083,careasy.in,Salon & Spa,India
4084,carechemistry.com,EdTech,India
4085,careercarve.com,HR & Recruitment,US
4086,careercollegeindia.com,EdTech,US
4087,careercomfort.co.in,HR & Recruitment,India
4088,careerdefenceschool.com,Aerospace & Defense,Global
4089,careerdefiner.co.in,EdTech,India
4090,careerinpharma.com,EdTech,India
4091,careernaksha.com,EdTech,India
4092,careerorbits.com,EdTech,Global
4093,careerplanb.co,Health & Wellness Services,India
4094,careershodh.com,Health & Wellness Services,Global
4095,careersuccessjammu.com,Banking & Financial Services,India
4096,careersuccesslaunchpad.in,Construction & Building Materials,India
4097,careertoolkit.in,HR & Recruitment,India
4098,careeruttsav.in,EdTech,India
4099,careerwave.org,EdTech,India
4100,careerwidth.com,EdTech,US
4101,careerxperts.com,HR & Recruitment,Global
4102,carefi.in,Health & Wellness Services,India
4103,caregroupiol.com,Unknown,Global
4104,carekeralam.com,Health & Wellness Services,India
4105,careme.health,Health & Wellness Services,India
4106,carenclass.com,Beauty & Personal Care,India
4107,carenzy.com,News & Media,Global
4108,careoxy.com,Health & Wellness Services,India
4109,carep.in,Professional Services,India
4110,carepay.money,FinTech,Global
4111,careque.in,Food & Beverage,India
4112,caresderma.com,Beauty & Personal Care,India
4113,caresoul.in,Health & Wellness,India
4114,cargopassdial.in,Logistics,India
4115,carhirepune.in,Rental & Subscription Services,India
4116,carigiri.in,Automotive,India
4117,carindia.in,News & Media,India
4118,caritashospital.org,Health & Wellness Services,India
4119,carkhabri.com,Automotive,India
4120,carkia.in,Automotive,India
4121,carlabraga.in,Fashion & Apparel,India
4122,carlington.in,Ecommerce/Retail,India
4123,carlizem.com,Electronics & Tech,India
4124,carltonlondon.com,Unknown,Global
4125,carltonsports.in,Sports & Outdoor,India
4126,carmelbhopal.net,Schools & Universities,India
4127,carmelorganics.in,Social Media & Platforms,India
4128,carmelpu.org,EdTech,Global
4129,carmelschoolgorakhpur.com,Religious & Spiritual,Global
4130,carmelsteeldgp.com,Construction & Building Materials,Global
4131,carneliancapital.co.in,Wealth & Asset Management,India
4132,carnivalcinemas.ca,Amusement & Entertainment Venues,Canada
4133,carniwel.com,Restaurant & Hospitality,India
4134,carnot.co.in,Agriculture,India
4135,caroxygen.com,Electronics & Tech,India
4136,carpediem-capital.com,Private Equity & Venture Capital,India
4137,carpetcellar.com,Unknown,Global
4138,carpetdecore.com,Ecommerce/Retail,India
4139,carpetplanet.in,Food & Beverage,India
4140,carpetsofkashmir.com,Unknown,Global
4141,carplus.in,Ecommerce/Retail,India
4142,carproindia.com,Home & Living,India
4143,carra.co.in,Food & Beverage,India
4144,carreograph.in,Health & Wellness Services,India
4145,carriall.com,Fashion & Apparel,India
4146,carriermideaindia.com,News & Media,Global
4147,carrimate.com,Fashion & Apparel,India
4148,carrocare.in,Automotive,India
4149,carronclothing.com,Fashion & Apparel,India
4150,carrymypet.com,Home Services,India
4151,carrypro.in,Fashion & Apparel,India
4152,carrytote.in,Fashion & Apparel,India
4153,cars.co.in,Ecommerce/Retail,India
4154,cars.mclaren.com,Automotive,Global
4155,cars360.co,Automotive,India
4156,carselonadaily.com,Automotive,India
4157,carsfy.in,Web Hosting & Domains,India
4158,carshala.in,Automotive,India
4159,carstereo.in,Electronics & Tech,India
4160,carstreetindia.com,Classifieds & Listings,India
4161,carsutra.shop,Electronics & Tech,India
4162,cart360.in,Electronics & Tech,India
4163,cartains.com,Home & Living,Global
4164,carthagoinformatique.tn,Electronics & Tech,France
4165,carthrust.com,News & Media,Global
4166,carveco.in,Manufacturing,India
4167,carveraviation.com,Airlines & Aviation,Global
4168,carvve.in,Electronics & Tech,India
4169,carx.io,Logistics,India
4170,carxstream.in,Automotive,India
4171,carxtreme.in,Automotive,India
4172,carysil.co.uk,Unknown,UK
4173,carysilshop.com,Ecommerce/Retail,India
4174,carzex.com,Unknown,Global
4175,carzippi.com,Automotive,India
4176,carzonwheel.com,Agriculture,India
4177,carzoom.in,Automotive,India
4178,carzspa.com,Home & Living,India
4179,cas.res.in,Schools & Universities,India
4180,casablancaindia.com,Fashion & Apparel,US
4181,casacollections.in,Home & Living,India
4182,casadeamor.in,Sports & Outdoor,India
4183,casadecor.co.in,Home & Living,India
4184,casafurnishing.in,Home & Living,India
4185,casagold.in,Home & Living,India
4186,casaindia.org.in,NGO & Non-Profit,India
4187,casajaali.com,Unknown,Global
4188,casalino.in,Unknown,India
4189,casaliving.in,Home & Living,India
4190,casarella.in,Home & Living,India
4191,casaretail.in,SaaS & B2B,India
4192,casarivera.in,Betting & Fantasy Sports,India
4193,casarocreamery.com,Unknown,Global
4194,cascade-kobe.co.jp,News & Media,Japan
4195,cascargnul.com,Crypto & Web3,India
4196,caseandfoam.in,Rubber; Plastics & Composites,India
4197,casecompany.ar,Unknown,Global
4198,casecompany.co,Unknown,Global
4199,casecrushers.in,Baby & Kids,India
4200,caseio.in,Electronics & Tech,India
4201,caseitup.co.in,Fashion & Apparel,India
4202,caseitup.in,Fashion & Apparel,India
4203,casekaro.xyz,Fashion & Apparel,India
4204,casekidukaan.com,Fashion & Apparel,Global
4205,caselulu.com,Ecommerce/Retail,India
4206,casesaccessories.com,Electronics & Tech,India
4207,casesafe.in,Fashion & Apparel,India
4208,casesily.com,Unknown,Global
4209,casesvilla.com,Real Estate,India
4210,casetino.in,Fashion & Apparel,India
4211,casewale.com,Unknown,Global
4212,casexstudio.com,Fashion & Apparel,India
4213,cashbook.in,Fashion & Apparel,India
4214,cashflo.io,Ecommerce/Retail,US
4215,cashify.eu,Crypto & Web3,Global
4216,cashify.gold,Social Media & Platforms,Global
4217,cashinvoice.in,Logistics,India
4218,cashirishvyas.com,EdTech,India
4219,cashkar.in,Electronics & Tech,India
4220,cashkumar.com,Banking & Financial Services,India
4221,cashmen.in,Electronics & Tech,India
4222,cashmypayment.com,Banking & Financial Services,India
4223,cashnest.in,Home Services,India
4224,cashngold.in,Jewelry,India
4225,cashonphone.com,Electronics & Tech,India
4226,cashpey.com,Banking & Financial Services,India
4227,cashpor.in,EdTech,India
4228,cashygo.in,Electronics & Tech,India
